session.name,monkey,date,num.units,num.well.isolated,num.units.vlPFC,num.units.TEO
Amos_2021-07-29,A,7/29/21,306,178,185,121
Hooke_2021-08-02,H,8/2/21,302,174,137,165
Amos_2021-08-03,A,8/3/21,340,212,198,142
Hooke_2021-08-05,H,8/5/21,330,202,159,171
Amos_2021-08-09,A,8/9/21,310,182,185,125
Hooke_2021-08-12,H,8/12/21,268,140,117,151
Amos_2021-08-13,A,8/13/21,325,197,192,133
Hooke_2021-08-15,H,8/15/21,301,173,147,154
Amos_2021-08-16,A,8/16/21,316,188,179,137
Hooke_2021-08-19,H,8/19/21,305,177,139,166
Amos_2021-08-20,A,8/20/21,305,177,178,127
Hooke_2021-08-21,H,8/21/21,279,151,130,149
Amos_2021-08-24,A,8/24/21,332,204,184,148
Hooke_2021-08-29,H,8/29/21,303,175,141,162
Hooke_2021-09-03,H,9/3/21,316,188,159,157
Hooke_2021-09-09,H,9/9/21,312,184,145,167
Hooke_2021-09-12,H,9/12/21,283,155,139,144
Amos_2021-09-14,A,9/14/21,253,125,142,111
Amos_2021-09-16,A,9/16/21,322,194,175,147
Amos_2021-09-17,A,9/17/21,321,193,176,145
mean,,,306.45,,,
total,,,6129,,,